,bottleID,cruise,yyyymmdd,V1V2data,V4data
0,1033900707,AE1718,20170913,,
1,1033900708,AE1718,20170913,,
2,1033900709,AE1718,20170913,,
3,1033900710,AE1718,20170913,,
4,1033900711,AE1718,20170913,,
5,1033900712,AE1718,20170913,,
6,1033900713,AE1718,20170913,,
7,1033900714,AE1718,20170913,,
8,1033900715,AE1718,20170913,,
9,1033900716,AE1718,20170913,,
10,1033900717,AE1718,20170913,,
11,1033900718,AE1718,20170913,,
12,1033900719,AE1718,20170913,,
13,1033900720,AE1718,20170913,,
14,1033900721,AE1718,20170913,,
15,1033900722,AE1718,20170913,,
16,1033900723,AE1718,20170913,,
17,1033900724,AE1718,20170913,,
18,1033900801,AE1718,20170913,,
19,1033900802,AE1718,20170913,,
20,1033900803,AE1718,20170913,,
21,1033900804,AE1718,20170913,,
22,1033900805,AE1718,20170913,,
23,1033900806,AE1718,20170913,,
24,1033900807,AE1718,20170913,,
25,1033900808,AE1718,20170913,,
26,1033900809,AE1718,20170913,,
27,1033900810,AE1718,20170913,,
28,1033900811,AE1718,20170913,,
29,1033900812,AE1718,20170913,,
30,1033900813,AE1718,20170913,,
31,1033900814,AE1718,20170913,,
32,1033900815,AE1718,20170913,,
33,1033900816,AE1718,20170913,,
34,1033900817,AE1718,20170913,,
35,1033900818,AE1718,20170913,,
36,1033900819,AE1718,20170913,,
37,1033900820,AE1718,20170913,,
38,1033900821,AE1718,20170913,,
39,1033900822,AE1718,20170913,,
40,1033900823,AE1718,20170913,,
41,1033900824,AE1718,20170913,,
42,1033901101,AE1718,20170914,,
43,1033901102,AE1718,20170914,V1V2_dada2_read_info_03052026.xlsx,V4_dada2_read_info_03052026.xlsx
44,1033901103,AE1718,20170914,,
45,1033901104,AE1718,20170914,V1V2_dada2_read_info_03052026.xlsx,V4_dada2_read_info_03052026.xlsx
46,1033901105,AE1718,20170914,,
47,1033901106,AE1718,20170914,,
48,1033901107,AE1718,20170914,V1V2_dada2_read_info_03052026.xlsx,V4_dada2_read_info_03052026.xlsx
49,1033901108,AE1718,20170914,,
50,1033901109,AE1718,20170914,V1V2_dada2_read_info_03052026.xlsx,V4_dada2_read_info_03052026.xlsx
51,1033901110,AE1718,20170914,,
52,1033901111,AE1718,20170914,,
