id,biosample,sample,dateCollected,depth,sra,submitter
26087263,SAMN26087263,9191600107_16S,2019-07-08,120,SRS12052287,Shuting Liu
26087262,SAMN26087262,9191600104_16S,2019-07-08,40,SRS12052286,Shuting Liu
26087261,SAMN26087261,9191600101_16S,2019-07-08,1,SRS12052285,Shuting Liu
26087260,SAMN26087260,9181901118_16S,2018-07-05,300,SRS12052283,Shuting Liu
26087259,SAMN26087259,9181901117_16S,2018-07-05,250,SRS12052284,Shuting Liu
26087258,SAMN26087258,9181901114_16S,2018-07-05,200,SRS12052282,Shuting Liu
26087257,SAMN26087257,9181901112_16S,2018-07-05,160,SRS12052280,Shuting Liu
26087256,SAMN26087256,9181901110_16S,2018-07-05,120,SRS12052279,Shuting Liu
26087255,SAMN26087255,9181901108_16S,2018-07-05,80,SRS12052278,Shuting Liu
26087254,SAMN26087254,9181901104_16S,2018-07-05,40,SRS12052276,Shuting Liu
26087253,SAMN26087253,9181901102_16S,2018-07-05,1,SRS12052277,Shuting Liu
26087252,SAMN26087252,9181901018_16S,2018-07-05,300,SRS12052275,Shuting Liu
26087251,SAMN26087251,9181901017_16S,2018-07-05,250,SRS12052274,Shuting Liu
26087250,SAMN26087250,9181901014_16S,2018-07-05,200,SRS12052273,Shuting Liu
26087249,SAMN26087249,9181901012_16S,2018-07-05,160,SRS12052272,Shuting Liu
26087248,SAMN26087248,9181901010_16S,2018-07-05,120,SRS12052270,Shuting Liu
26087247,SAMN26087247,9181901008_16S,2018-07-05,80,SRS12052271,Shuting Liu
26087246,SAMN26087246,9181901004_16S,2018-07-05,40,SRS12052268,Shuting Liu
26087245,SAMN26087245,9181901002_16S,2018-07-05,1,SRS12052267,Shuting Liu
26087244,SAMN26087244,9181900919_16S,2018-07-05,300,SRS12052266,Shuting Liu
26087243,SAMN26087243,9181900918_16S,2018-07-05,250,SRS12052265,Shuting Liu
26087242,SAMN26087242,9181900914_16S,2018-07-05,200,SRS12052264,Shuting Liu
26087241,SAMN26087241,9181900913_16S,2018-07-05,160,SRS12052263,Shuting Liu
26087240,SAMN26087240,9181900911_16S,2018-07-05,120,SRS12052262,Shuting Liu
26087239,SAMN26087239,9181900909_16S,2018-07-05,80,SRS12052260,Shuting Liu
26087238,SAMN26087238,9181900904_16S,2018-07-05,40,SRS12052261,Shuting Liu
26087237,SAMN26087237,9181900901_16S,2018-07-05,1,SRS12052259,Shuting Liu
26087236,SAMN26087236,9181900718_16S,2018-07-05,300,SRS12052257,Shuting Liu
26087235,SAMN26087235,9181900717_16S,2018-07-05,250,SRS12052256,Shuting Liu
26087234,SAMN26087234,9181900714_16S,2018-07-05,200,SRS12052255,Shuting Liu
26087233,SAMN26087233,9181900712_16S,2018-07-05,160,SRS12052254,Shuting Liu
26087232,SAMN26087232,9181900710_16S,2018-07-05,120,SRS12052252,Shuting Liu
26087231,SAMN26087231,9181900708_16S,2018-07-05,80,SRS12052253,Shuting Liu
26087230,SAMN26087230,9181900704_16S,2018-07-05,40,SRS12052251,Shuting Liu
26087229,SAMN26087229,9181900702_16S,2018-07-05,1,SRS12052250,Shuting Liu
26087228,SAMN26087228,9181900618_16S,2018-07-04,300,SRS12052249,Shuting Liu
26087227,SAMN26087227,9181900617_16S,2018-07-04,250,SRS12052248,Shuting Liu
26087226,SAMN26087226,9181900614_16S,2018-07-04,200,SRS12052246,Shuting Liu
26087225,SAMN26087225,9181900612_16S,2018-07-04,160,SRS12052245,Shuting Liu
26087224,SAMN26087224,9181900610_16S,2018-07-04,120,SRS12052244,Shuting Liu
26087223,SAMN26087223,9181900608_16S,2018-07-04,80,SRS12052243,Shuting Liu
26087222,SAMN26087222,9181900604_16S,2018-07-04,40,SRS12052242,Shuting Liu
26087221,SAMN26087221,9181900602_16S,2018-07-04,1,SRS12052241,Shuting Liu
26087220,SAMN26087220,9181900518_16S,2018-07-04,300,SRS12052239,Shuting Liu
26087219,SAMN26087219,9181900517_16S,2018-07-04,250,SRS12052240,Shuting Liu
26087218,SAMN26087218,9181900514_16S,2018-07-04,200,SRS12052238,Shuting Liu
26087217,SAMN26087217,9181900512_16S,2018-07-04,160,SRS12052237,Shuting Liu
26087216,SAMN26087216,9181900510_16S,2018-07-04,120,SRS12052234,Shuting Liu
26087215,SAMN26087215,9181900508_16S,2018-07-04,80,SRS12052235,Shuting Liu
26087214,SAMN26087214,9181900504_16S,2018-07-04,40,SRS12052233,Shuting Liu
26087213,SAMN26087213,9181900502_16S,2018-07-04,1,SRS12052232,Shuting Liu
26087212,SAMN26087212,9181900318_16S,2018-07-04,300,SRS12052231,Shuting Liu
26087211,SAMN26087211,9181900317_16S,2018-07-04,250,SRS12052230,Shuting Liu
26087210,SAMN26087210,9181900314_16S,2018-07-04,200,SRS12052229,Shuting Liu
